Samsung,,GT-I5510M,GT-I5510M
Samsung,,GT-I5510T,GT-I5510T
Samsung,,GT-I5800L,GT-I5800L
Samsung,,GT-N7000B,GT-N7000B
Samsung,,GT-P7300B,GT-P7300B
Samsung,,GT-P7320T,GT-P7320T
Samsung,,GT-P7500M,GT-P7500M
Samsung,,GT-P7500R,GT-P7500R
Samsung,,GT-P7500V,GT-P7500V
Samsung,,GT-S5698,GT-S5698
Samsung,,GT-S5820,GT-S5820
Samsung,,GT-S5830V,GT-S5830V
Samsung,,SCH-I339,SCH-I339
Samsung,,SCH-I405U,SCH-I405U
Samsung,,SCH-I509U,SCH-I509U
Samsung,,SCH-I519,SCH-I519
Samsung,,SCH-I559,SCH-I559
Samsung,,SCH-I559,SCH-i559
Samsung,,SCH-I639,SCH-I639
Samsung,,SCH-I659,SCH-I659
Samsung,,SCH-I699,SCH-I699
Samsung,,SCH-I779,SCH-I779
Samsung,,SCH-I919U,SCH-I919U
Samsung,,SCH-W899,SCH-W899
Samsung,,SCH-W999,SCH-W999
Samsung,,SCH-i809,SCH-i809
Samsung,,SCH-i919,SCH-i919
Samsung,,SGH-I987,SGH-I987
Samsung,,SGH_T939,Behold II
Samsung,,SHV-E150S,SHV-E150S
Samsung,,SHW-M115S,SHW-M115S
Samsung,,SHW-M135K,SHW-M135K
Samsung,,SHW-M135L,SHW-M135L
Samsung,,SHW-M340D,SHW-M340D
Samsung,,SHW-M340K,SHW-M340K
Samsung,,SHW-M460D,SHW-M460D
Samsung,,amazingtrf,SGH-S730G
Samsung,,aruba3gchn,GT-I8262D
Samsung,,espressorfcmcc,GT-P3108
Samsung,,gd1ltektt,EK-KC120K
Samsung,,godivaltevzw,SCH-I425
Samsung,,ironcmcc,GT-B9388
Samsung,,m0grandectc,SCH-W2013
Samsung,,m0grandectc,SCH-W9913
Samsung,,p4noterfskt,SHW-M480S
Samsung,,stunnerltespr,SPH-L500
Samsung,,superiorchn,GT-I9260
Samsung,	 Galaxy A7(2016),a7xltechn,SM-A710XZ
Samsung,Absolute,GT-B9120,GT-B9120
Samsung,Acclaim,SCH-R880,SCH-R880
Samsung,Admire,SCH-R720,SCH-R720
Samsung,Amazing,amazingtrf,SGH-S730M
Samsung,Baffin,baffinltelgt,SHV-E270L
Samsung,Captivate Glide,SGH-I927,SAMSUNG-SGH-I927
Samsung,Captivate Glide,SGH-I927,SGH-I927
Samsung,China Telecom,kylevectc,SCH-I699I
